tool,inner_node,node_type,parm_family,n_referenced,n_in_family,confidence,literals,referenced
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/transform3,xform,s,2,2,high,sx=0 parmgroup_pivotxform=1,sy sz
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/XformEstablishFinalSize,xform,,1,1,medium,parmgroup_pivotxform=1,scale
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/box1,box,,3,5,medium,type=1 ry=45 divrate1=2 divrate2=2 divrate3=2,sizex sizey sizez
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/polybevel4,polybevel::3.0,,3,6,medium,grouptype=3 profileramp1value=0.5 profileramp1interp=2 profileramp2pos=1 profileramp2value=0.5 profileramp2interp=2,divisions filletshape offset
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/ColorBolt,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/ColorMetalPlate,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/ColorWasher,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/ColorNut,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateRivets/Rivet_001/transform7,xform,,1,1,medium,parmgroup_pivotxform=1,scale
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateRivets/Rivet_001/transform8,xform,s,2,9,high,tx=0 ty=0 tz=0 sx=0 parmgroup_pivotxform=1 px=0 py=0 pz=0 addattrib=1,sy sz
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateRivets/Rivet_002/transform8,xform,s,2,9,high,tx=0 ty=0 tz=0 sx=0 parmgroup_pivotxform=1 px=0 py=0 pz=0 addattrib=1,sy sz
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateRivets/Rivet_003/transform8,xform,s,2,9,high,tx=0 ty=0 tz=0 sx=0 parmgroup_pivotxform=1 px=0 py=0 pz=0 addattrib=1,sy sz
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateRivets/cross_metal_001/transform1,xform,s,2,2,high,sy=0 parmgroup_pivotxform=1,sx sz
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateRivets/cross_metal_001/transform4,xform,,1,1,medium,parmgroup_pivotxform=1,scale
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/Hinges/HingeFancy_001/CreateRivets/color1,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/Hinges/HingeFancy_001/CreateHinge/color1,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/Hinges/HingeFancy_002/transform3,xform,s,2,2,high,sx=0 parmgroup_pivotxform=1,sy sz
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/Hinges/HingeFancy_002/color1,color,,3,5,medium,class=3 ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/transform1,xform,,1,5,medium,tz=0 parmgroup_pivotxform=1 px=0 py=0 pz=0,scale
